id;lat;long;modo
408;-33.7515;-12.05286667;barco
409;-33.27400667;10.43380333;barco
410;9.94436167;120.29905667;barco
411;-26.73153333;44.77915;barco
412;-24.87788333;-22.42538333;barco
413;-34.726675;-31.38821833;barco
414;10.3604;-14.77563333;barco
415;-13.23271667;0.9016;barco
416;-5.70598333;80.19196667;barco
417;-5.606775;-5.43189667;barco
418;-3.251135;-5.94475667;barco
419;-17.125425;4.23954167;barco
420;-21.36540333;7.477580000000001;barco
421;-10.443185;74.57492167;barco
422;16.984815;82.4922;barco
423;48.65461667;-123.247515;barco
424;37.489385;-127.97446333;barco
425;16.1011;-101.94609;barco
426;22.6482;-113.42552167;barco
427;7.66696167;-85.85209333;barco
428;-1.99473333;-55.45490667;barco
429;53.40559;-154.98385667;barco
430;46.31853333;151.61238833;barco
431;44.07926833;148.813965;barco
432;-1.74121667;-7.89243333;barco
433;-19.60721667;61.8978;barco
434;-17.0868;65.47998333;barco
435;-28.68878833;13.59008;barco
436;-30.47126833;30.98317833;barco
437;1.00961667;87.94643167;barco
438;38.34156469606264;-13.938593962620264;barco
439;16.09985;72.78891667;barco
440;23.74810667;-16.88250333;barco
441;15.57731667;-17.9993;barco
442;35.00791333;-14.109215;barco
443;36.30033333;-37.30881667;barco
444;33.64031667;-23.9138;barco
445;30.2327;-47.35288333;barco
446;34.7186;-17.40158333;barco
447;31.8742;-42.53656667;barco
448;28.88488333;-68.11766667;barco
449;23.89916;-83.953215;barco
450;27.990540517529308;-59.57482377218703;barco
451;26.3556281962054;-63.523321726897336;barco
452;27.164895;-69.60778667;barco
453;15.17116167;-80.60284;barco
454;15.84139;-68.595015;barco
455;-20.044365;-6.58238167;barco
456;38.95708564654812;-75.19122900439521;barco
457;37.388195;-54.72305;barco
458;36.92920333;-33.98278833;barco
459;38.23165667;-18.03687;barco
460;41.90892;-49.80137;barco
461;27.8544;-92.50325;barco
462;15.88441667;-88.00936667;barco
463;25.152988065211854;-95.4393030738122;barco
464;4.637635;-1.81103667;barco
465;5.088531338235257;-50.41870650670468;barco
466;-7.63352667;-34.515905;barco
467;-1.45225;-40.91801667;barco
468;18.31016667;-69.56016667;barco
469;0.52462333;-43.55337167;barco
470;-16.68639833;-36.87517667;barco
471;12.344275;-66.56678000000001;barco
472;19.43961333;-78.22456667;barco
473;-28.92064833;-48.66574;barco
474;-21.076220000000003;-40.08399167;barco
475;-19.00275667;-38.74212333;barco
476;11.22971667;81.02475;barco
477;20.25879;63.43569333;barco
478;8.69041;76.24075;barco
479;29.40007833;49.024115;barco
480;10.018270085905671;83.41449353044423;barco
481;14.310535;70.14939333;barco
482;27.81906667;50.94666667;barco
483;19.87219833;67.22022667;barco
484;6.82468167;82.15995;barco
485;10.080812127851164;74.90140041130458;barco
486;31.105785;29.60939644985511;barco
487;31.46004463861817;32.31851706984071;barco
488;26.384645000000003;54.09857667;barco
489;13.01130167;48.33498167;barco
490;36.480309152;35.445160502763265;barco
491;12.77837167;71.75210167;barco
492;16.45669802585341;69.13345361129396;barco
493;14.342620000000002;84.79530333;barco
494;12.861945249385013;73.67612399706998;barco
495;22.965095;66.12619333;barco
496;15.879495;55.397665;barco
497;22.922375;37.30918;barco
498;29.88190333;-13.30103667;barco
499;41.4787;29.10748333;barco
500;36.26883;-1.730855;barco
501;36.62197167;0.5564;barco
502;36.05845;22.20695;barco
503;43.67601667;-9.60721667;barco
504;36.129540000000006;-4.864755000000001;barco
505;60.149485;28.15926667;barco
506;59.68991833;24.27465;barco
507;37.41011333;11.08206333;barco
508;40.11289;0.94383;barco
509;37.65781347217719;6.635439117577215;barco
510;43.09018667;10.10995;barco
511;48.96650333;-6.10095;barco
512;-4.722944999999999;11.60705833;barco
513;11.136582697043616;-75.02357468784564;barco
514;16.458095;-85.08319;barco
515;17.38901833;-71.79255333;barco
516;17.187585000000002;-73.705085;barco
517;19.71130333;-74.177685;barco
518;11.313885;-68.36189499999999;barco
519;25.703133425117358;-79.58305284679906;barco
520;21.26606833;-75.82580667;barco
521;6.231145;-53.80796333;barco
522;-5.18033333;124.38538333;barco
523;-5.0299;128.89565167;barco
524;-2.660085;124.20442167;barco
525;-2.52166667;126.805;barco
526;0.8131666599999998;128.18077499999998;barco
527;-4.93761333;136.52413667;barco
528;-4.93255;134.11983667;barco
529;-6.781953226487676;112.7894195952676;barco
530;-8.350856600140013;110.838567233527;barco
531;38.83176667;26.59788333;barco
532;36.19042833;-44.00182333;barco
533;35.23090167;-54.06695500000001;barco
534;38.09658333;16.40333333;barco
535;39.25171667;18.28441667;barco
536;5.93563333;86.24773499999999;barco
537;25.02949333;-86.87886;barco
538;17.51404333;-67.69679833;barco
